provinceName,varietyName,minimumPrice,middlePrice,highestPrice,meteringUnit
上海市,一级豆油(散装),8.0,11.5,15.0,元/公斤
上海市,冬瓜,1.0,1.1,1.2,元/公斤
上海市,南瓜,1.7,2.125,2.6,元/公斤
上海市,土豆,1.45,1.825,2.4000000000000004,元/公斤
上海市,大白菜,2.1,2.4,2.65,元/公斤
上海市,大葱,2.2,2.525,2.8,元/公斤
上海市,大蒜,7.0,8.2,9.0,元/公斤
上海市,大豆,6.6,7.6,8.6,元/公斤
上海市,富士苹果,8.0,12.0,16.0,元/公斤
上海市,巨峰葡萄,8.0,13.5,19.0,元/公斤
上海市,平菇,7.5,8.05,8.8,元/公斤
上海市,油菜,4.4,5.6,7.050000000000001,元/公斤
上海市,洋白菜,4.0,4.5,5.0,元/公斤
上海市,牛肉,60.0,80.27,110.0,元/公斤
上海市,猪肉(白条猪),14.0,16.43,25.6,元/公斤
上海市,玉米,4.0,5.0,6.0,元/公斤
上海市,生姜,6.4,7.1,8.4,元/公斤
上海市,生菜,6.0,6.65,7.3,元/公斤
上海市,白条鸡,17.7,22.2,26.5,元/公斤
上海市,白萝卜,1.2,1.3,1.45,元/公斤
上海市,砂糖橘,6.0,8.0,10.0,元/公斤
上海市,粳米(普通),4.1,4.25,4.4,元/公斤
上海市,红萝卜,2.0,2.5,3.0,元/公斤
上海市,羊肉,46.0,63.5,70.0,元/公斤
上海市,胡萝卜,1.6,1.9,2.2,元/公斤
上海市,芹菜,6.0,6.7,7.5,元/公斤
上海市,茄子,3.4000000000000004,4.45,5.8,元/公斤
上海市,莲藕,6.5,8.0,9.5,元/公斤
上海市,莴笋,3.5,4.2,5.0,元/公斤
上海市,菜花,5.5,6.7,7.85,元/公斤
上海市,菠菜,12.0,14.75,17.5,元/公斤
上海市,葱头,1.05,1.425,1.8,元/公斤
上海市,蒜苗,6.0,7.5,9.0,元/公斤
上海市,蒜薹,5.0,6.2,9.0,元/公斤
上海市,西瓜,2.0,3.5,5.0,元/公斤
上海市,西红柿,3.6,4.6,5.3,元/公斤
上海市,西葫芦,3.5,4.3,5.35,元/公斤
上海市,豆角,5.05,5.8,7.7,元/公斤
上海市,青椒,3.8,4.2,4.6,元/公斤
上海市,面粉,3.3,4.05,4.8,元/公斤
上海市,韭菜,4.0,4.5,5.0,元/公斤
上海市,香菇,10.5,13.0,16.0,元/公斤
上海市,香蕉,6.0,6.8,7.6,元/公斤
上海市,鸭梨,3.0,5.0,7.0,元/公斤
上海市,黄瓜,5.3,6.199999999999999,7.1,元/公斤
云南省,丝瓜,5.0,5.5,6.0,元/公斤
云南省,佛手瓜,2.0,2.375,3.5,元/公斤
云南省,养殖鲶鱼,19.0,19.0,19.0,元/公斤
云南省,冬瓜,2.0,3.625,3.0,元/公斤
云南省,南瓜,2.8,3.875,3.2,元/公斤
云南省,土豆,2.0,2.725,2.8,元/公斤
云南省,大白菜,3.0,3.625,4.0,元/公斤
云南省,大葱,4.0,4.5,5.0,元/公斤
云南省,大蒜,11.0,11.5,13.0,元/公斤
云南省,小白菜,2.0,2.35,3.0,元/公斤
云南省,小葱,,2.5,,元/公斤
云南省,尖椒,6.0,5.5,8.0,元/公斤
云南省,山药,7.0,9.875,8.0,元/公斤
云南省,慈菇,,9.0,,元/公斤
云南省,折耳根(鱼腥草),8.0,7.5,10.0,元/公斤
云南省,木耳,,8.0,,元/公斤
云南省,条形辣椒干（小米椒）,,8.0,,元/公斤
云南省,樱桃西红柿,2.5,3.0,4.0,元/公斤
云南省,毛豆,7.0,6.0,9.0,元/公斤
云南省,油菜,4.0,5.25,5.0,元/公斤
云南省,油麦菜,3.0,3.775,4.5,元/公斤
云南省,泥鳅,23.0,23.0,23.0,元/公斤
云南省,洋白菜,2.0,2.6,3.2,元/公斤
云南省,活草鱼,18.0,18.25,18.5,元/公斤
云南省,活鲤鱼,15.5,15.75,16.0,元/公斤
云南省,活鲫鱼,20.0,20.25,20.5,元/公斤
云南省,淡水鲈鱼,48.0,48.0,48.0,元/公斤
云南省,牛肉,65.0,66.5,68.0,元/公斤
云南省,猪肉(白条猪),19.0,20.0,21.0,元/公斤
云南省,玉米棒,4.0,4.5,5.0,元/公斤
云南省,生姜,10.0,12.0,11.0,元/公斤
